,game_id,event,site,date,round,white,white_elo,black,black_elo,result,eco,opening_name
107,2012_Anand_Gelfand_game10,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-24,10,Viswanathan Anand,?,Boris Gelfand,?,1/2-1/2,B30,Sicilian
108,2012_Anand_Gelfand_game11,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-26,11,Boris Gelfand,?,Viswanathan Anand,?,1/2-1/2,E54,"Nimzo-Indian, 4.e3, Gligoric System"
109,2012_Anand_Gelfand_game12,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-28,12,Viswanathan Anand,?,Boris Gelfand,?,1/2-1/2,B30,Sicilian
110,2012_Anand_Gelfand_game13,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-30,13,Boris Gelfand,?,Viswanathan Anand,?,1/2-1/2,D45,Queen's Gambit Declined Semi-Slav
111,2012_Anand_Gelfand_game14,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-30,14,Viswanathan Anand,?,Boris Gelfand,?,1-0,B30,Sicilian
112,2012_Anand_Gelfand_game15,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-30,15,Boris Gelfand,?,Viswanathan Anand,?,1/2-1/2,D12,Queen's Gambit Declined Slav
113,2012_Anand_Gelfand_game16,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-30,16,Viswanathan Anand,?,Boris Gelfand,?,1/2-1/2,B51,"Sicilian, Canal-Sokolsky (Rossolimo) Attack"
114,2021_Carlsen_Nepomniachtchi_game1,Carlsen - Nepomniachtchi World Championship Match,Dubai UAE,2021-11-26,1,Ian Nepomniachtchi,2782,Magnus Carlsen,2855,1/2-1/2,C88,Ruy Lopez
115,2021_Carlsen_Nepomniachtchi_game2,Carlsen - Nepomniachtchi World Championship Match,Dubai UAE,2021-11-27,2,Magnus Carlsen,2855,Ian Nepomniachtchi,2782,1/2-1/2,E06,"Catalan, Closed, 5.Nf3"
116,2021_Carlsen_Nepomniachtchi_game3,Carlsen - Nepomniachtchi World Championship Match,Dubai UAE,2021-11-28,3,Ian Nepomniachtchi,2782,Magnus Carlsen,2855,1/2-1/2,C88,Ruy Lopez
117,2021_Carlsen_Nepomniachtchi_game4,FIDE World Championship 2021,Dubai UAE,2021-11-30,4.1,Magnus Carlsen,2855,Ian Nepomniachtchi,2782,1/2-1/2,C42,Petrov Defense
118,2021_Carlsen_Nepomniachtchi_game5,FIDE World Championship 2021,Dubai UAE,2021-12-01,5.1,Ian Nepomniachtchi,2782,Magnus Carlsen,2855,1/2-1/2,A00,Uncommon Opening
119,2021_Carlsen_Nepomniachtchi_game6,FIDE World Championship 2021,Dubai UAE,2021-12-03,6.1,"Carlsen, Magnus",2855,"Nepomniachtchi, Ian",2782,1-0,D02,Queen's Pawn Game
120,2021_Carlsen_Nepomniachtchi_game7,FIDE World Championship 2021,Dubai UAE,2021-12-04,7.1,"Nepomniachtchi, Ian",2782,"Carlsen, Magnus",2855,1/2-1/2,C88,Ruy Lopez
121,2021_Carlsen_Nepomniachtchi_game8,FIDE World Championship 2021,Dubai UAE,2021-12-05,8.1,"Carlsen, Magnus",2855,"Nepomniachtchi, Ian",2782,1-0,C43,"Petrov, Modern Attack"
122,2021_Carlsen_Nepomniachtchi_game9,FIDE World Championship 2021,Dubai UAE,2021-12-07,9.1,"Nepomniachtchi, Ian",2782,"Carlsen, Magnus",2855,0-1,A13,English
123,2021_Carlsen_Nepomniachtchi_game10,FIDE World Championship 2021,Dubai UAE,2021-12-08,10.1,"Carlsen, Magnus",2855,"Nepomniachtchi, Ian",2782,1/2-1/2,C42,Petrov Defense
124,2021_Carlsen_Nepomniachtchi_game11,FIDE World Championship 2021,Dubai UAE,2021-12-10,11.1,"Nepomniachtchi, Ian",2782,"Carlsen, Magnus",2855,0-1,C53,Giuoco Piano
125,2013_Anand_Carlsen_game1,Anand - Carlsen World Championship Match,Chennai IND,2013-11-09,1,Magnus Carlsen,2870,Viswanathan Anand,2775,1/2-1/2,A07,King's Indian Attack
126,2013_Anand_Carlsen_game2,Anand - Carlsen World Championship Match,Chennai IND,2013-11-10,2,Viswanathan Anand,2775,Magnus Carlsen,2870,1/2-1/2,B18,"Caro-Kann, Classical"
127,2013_Anand_Carlsen_game3,Anand - Carlsen World Championship Match,Chennai IND,2013-11-12,3,Magnus Carlsen,2870,Viswanathan Anand,2775,1/2-1/2,A07,King's Indian Attack
128,2013_Anand_Carlsen_game4,Anand - Carlsen World Championship Match,Chennai IND,2013-11-13,4,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,C67,Ruy Lopez
129,2013_Anand_Carlsen_game5,Anand - Carlsen World Championship Match,Chennai IND,2013-11-15,5,Magnus Carlsen,?,Viswanathan Anand,?,1-0,D31,Queen's Gambit Declined
130,2013_Anand_Carlsen_game6,Anand - Carlsen World Championship Match,Chennai IND,2013-11-16,6,Viswanathan Anand,?,Magnus Carlsen,?,0-1,C65,"Ruy Lopez, Berlin Defense"
131,2013_Anand_Carlsen_game7,Anand - Carlsen World Championship Match,Chennai IND,2013-11-18,7,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,C65,"Ruy Lopez, Berlin Defense"
132,2013_Anand_Carlsen_game8,Anand - Carlsen World Championship Match,Chennai IND,2013-11-19,8,Magnus Carlsen,?,Viswanathan Anand,?,1/2-1/2,C67,Ruy Lopez
133,2013_Anand_Carlsen_game9,Anand - Carlsen World Championship Match,Chennai IND,2013-11-21,9,Viswanathan Anand,?,Magnus Carlsen,?,0-1,E25,"Nimzo-Indian, Samisch"
134,2013_Anand_Carlsen_game10,Anand - Carlsen World Championship Match,Chennai IND,2013-11-22,10,Magnus Carlsen,?,Viswanathan Anand,?,1/2-1/2,B51,"Sicilian, Canal-Sokolsky (Rossolimo) Attack"
135,2014_Carlsen_Anand_game1,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
